Brand,product_name,shoping
ASUS ZenBook15.6" Intel Whiskey Lake i7-8565U, 16 GB DDR4, 1 TB PCIe SSD, GTX 1050, IR Camera, Windows 10 Pro - Icicle Silver Ultra Slim Compact FHD 4-Way NanoEdge - UX533FD-NS76 Newegg Exclusive,ASUS ZenBook UX533 Ultra Slim Compact Laptop, 15.6" FHD 4-Way NanoEdge, Intel Core i7-8565U, 16GB DDR4, 1TB PCIe SSD, GeForce GTX 1050, IR Camera, TPM, Windows 10 Pro, Icicle Silver, UX533FD-NS76 Newe,Free Shipping
Acer Aspire 3 15.6" - AMD Ryzen 7 2700U Quad-core (4 Core) 2.20 GHz - 8 GB DDR4 SDRAM - 256 GB SSD - Windows 10 Home 64-bit - 1920 x 1080 - A315-41-R14K - NX.GY9AA.014 - Obsidian Black,Acer Aspire 3 15.6" - AMD Ryzen 7 2700U Quad-core (4 Core) 2.20 GHz - 8 GB DDR4 SDRAM - 256 GB SSD - Windows 10 Home 64-bit - 1920 x 1080 - A315-41-R14K - NX.GY9AA.014 - Obsidian Black,Free Shipping
Lenovo Laptop IdeaPad L340 81LG0011US Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" Windows 10 Home 64-bit (Newegg EXCLUSIVE),Lenovo Laptop IdeaPad L340 81LG0011US Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" Windows 10 Home 64-bit,Free Shipping
Lenovo Laptop IdeaPad L340 81LW000DUS AMD Ryzen 5 2nd Gen 3500U (2.10 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6" Windows 10 Home 64-bit,Lenovo Laptop IdeaPad L340 81LW000DUS AMD Ryzen 5 2nd Gen 3500U (2.10 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6" Windows 10 Home 64-bit - OEM,$0.99 Shipping
Lenovo Laptop IdeaPad 330 81D2005CUS AMD Ryzen 5 1st Gen 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6" Windows 10 Home 64-Bit,Lenovo Laptop IdeaPad 330 81D2005CUS AMD Ryzen 5 1st Gen 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6" Windows 10 Home 64-Bit,Free Shipping
ASUS ZenBook 14 UX431FN-IH74 Ultra-thin and Light 14-inch FHD Laptop, Intel Core i7-8565U, 16 GB RAM, 512 GB PCIE SSD, GeForce MX150, Windows 10, Silver Blue,ASUS ZenBook 14 UX431FN-IH74 Ultra-thin and Light 14-inch FHD Laptop, Intel Core i7-8565U, 16 GB RAM, 512 GB PCIE SSD, GeForce MX150, Windows 10, Silver Blue,Free Shipping
ASUS VivoBook S15 15.6" Full HD NanoEdge Bezel, Whiskey Lake Intel Core i5-8265U Processor, 8 GB DDR4, 256 GB SSD, Windows 10 - S530FA-DB51-IG, Icicle Gold Slim and Portable Laptop,,ASUS VivoBook S15 15.6" Full HD NanoEdge Bezel, Whiskey Lake Intel Core i5-8265U Processor, 8 GB DDR4, 256 GB SSD, Windows 10 - S530FA-DB51-IG, Icicle Gold Slim and Portable Laptop,,$2.99 Shipping
ASUS VivoBook  AMD A9-9425 Dual Core Processor (Boost up to 3.7 GHz) with Radeon R5 Graphics, 8 GB DDR4 RAM, 256 GB SSD, 14" FHD Display Windows 10, F441BA-DS95 Light and Powerful Laptop,,ASUS VivoBook  AMD A9-9425 Dual Core Processor (Boost up to 3.7 GHz) with Radeon R5 Graphics, 8 GB DDR4 RAM, 256 GB SSD, 14" FHD Display Windows 10, F441BA-DS95 Light and Powerful Laptop,,Free Shipping
HP Laptop ProBook 450 G6 5YH15UT#ABA Intel Core i7 8th Gen 8565U (1.80 GHz) 16 GB Memory 256 GB SSD NVIDIA GeForce MX130 15.6" Windows 10 Pro 64-bit,HP Laptop ProBook 450 G6 5YH15UT#ABA Intel Core i7 8th Gen 8565U (1.80 GHz) 16 GB Memory 256 GB SSD NVIDIA GeForce MX130 15.6" Windows 10 Pro 64-bit,$2.99 Shipping
Lenovo Laptop IdeaPad 530s 81EU000JUS Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce MX150 14.0" Windows 10 Home 64-Bit,Lenovo Laptop IdeaPad 530s 81EU000JUS Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce MX150 14.0" Windows 10 Home 64-Bit,$2.99 Shipping
Lenovo Laptop IdeaPad 330S 81F5001RUS Intel Core i3 8th Gen 8130U (2.20 GHz) 6 GB Memory 1 TB HDD Intel UHD Graphics 620 15.6" Windows 10 Home 64-bit,Lenovo Laptop IdeaPad 330S 81F5001RUS Intel Core i3 8th Gen 8130U (2.20 GHz) 6 GB Memory 1 TB HDD Intel UHD Graphics 620 15.6" Windows 10 Home 64-bit,$2.99 Shipping
ASUS VivoBook S510UA-DS71 Ultra Thin and Portable Laptop, Intel Core i7-8550U Processor, 8 GB DDR4 RAM, 128 GB SSD + 1 TB HDD, 15.6" FHD WideView Display, ASUS NanoEdge Bezel, Metal Cover, S510UA-DS71,ASUS VivoBook S510UA-DS71 Ultra Thin and Portable Laptop, Intel Core i7-8550U Processor, 8 GB DDR4 RAM, 128 GB SSD + 1 TB HDD, 15.6" FHD WideView Display, ASUS NanoEdge Bezel, Metal Cover, S510UA-DS71,Free Shipping
